"TIME","GEO","SEX","INDIC_EM","Value"
"2004","European Union (15 countries)","Females","Activity rate (15 to 24 years)","44.2"
"2004","European Union (15 countries)","Females","Activity rate (20 to 64 years)","66.1"
"2004","European Union (15 countries)","Females","Activity rate (25 to 54 years)","75.2"
"2004","European Union (15 countries)","Females","Activity rate (55 to 64 years)","35.6"
"2004","European Union (15 countries)","Females","Youth unemployment ratio 15-24","7.2"
"2004","Euro area (18 countries)","Total","Total population","318 285.7"
"2004","Euro area (18 countries)","Total","Population (15 to 64 years)","213 117.0"
"2004","Euro area (18 countries)","Total","Active population","149 928.0"
"2004","Euro area (18 countries)","Total","Growth of active population","1.0"
"2004","Euro area (18 countries)","Total","Activity rate (15 to 64 years)","69.4"
"2004","Euro area (18 countries)","Total","Activity rate (15 to 24 years)","43.9"
"2004","Euro area (18 countries)","Total","Activity rate (20 to 64 years)","73.9"
"2004","Euro area (18 countries)","Total","Activity rate (25 to 54 years)","83.8"
"2004","Euro area (18 countries)","Total","Activity rate (55 to 64 years)","41.8"
"2004","Euro area (18 countries)","Total","Youth unemployment ratio 15-24","7.7"
"2004","Euro area (18 countries)","Males","Total population","155 220.0"
"2004","Euro area (18 countries)","Males","Population (15 to 64 years)","106 477.9"
"2004","Euro area (18 countries)","Males","Active population","84 186.9"
"2004","Euro area (18 countries)","Males","Growth of active population","0.3"
"2004","Euro area (18 countries)","Males","Activity rate (15 to 64 years)","77.8"
"2004","Euro area (18 countries)","Males","Activity rate (15 to 24 years)","47.5"
"2004","Euro area (18 countries)","Males","Activity rate (20 to 64 years)","82.9"
"2004","Euro area (18 countries)","Males","Activity rate (25 to 54 years)","92.8"
"2004","Euro area (18 countries)","Males","Activity rate (55 to 64 years)","52.6"
"2004","Euro area (18 countries)","Males","Youth unemployment ratio 15-24","7.9"
"2004","Euro area (18 countries)","Females","Total population","163 065.7"
"2004","Euro area (18 countries)","Females","Population (15 to 64 years)","106 639.1"
"2004","Euro area (18 countries)","Females","Active population","65 740.8"
"2004","Euro area (18 countries)","Females","Growth of active population","2.0"
"2004","Euro area (18 countries)","Females","Activity rate (15 to 64 years)","61.0"
"2004","Euro area (18 countries)","Females","Activity rate (15 to 24 years)","40.2"
"2004","Euro area (18 countries)","Females","Activity rate (20 to 64 years)","64.9"
"2004","Euro area (18 countries)","Females","Activity rate (25 to 54 years)","74.8"
"2004","Euro area (18 countries)","Females","Activity rate (55 to 64 years)","31.5"
"2004","Euro area (18 countries)","Females","Youth unemployment ratio 15-24","7.4"
"2004","Euro area (17 countries)","Total","Total population","315 966.8"
"2004","Euro area (17 countries)","Total","Population (15 to 64 years)","211 530.0"
"2004","Euro area (17 countries)","Total","Active population","148 781.5"
"2004","Euro area (17 countries)","Total","Growth of active population","1.0"
"2004","Euro area (17 countries)","Total","Activity rate (15 to 64 years)","69.4"
"2004","Euro area (17 countries)","Total","Activity rate (15 to 24 years)","44.0"
"2004","Euro area (17 countries)","Total","Activity rate (20 to 64 years)","73.9"
"2004","Euro area (17 countries)","Total","Activity rate (25 to 54 years)","83.8"
"2004","Euro area (17 countries)","Total","Activity rate (55 to 64 years)","41.8"
"2004","Euro area (17 countries)","Total","Youth unemployment ratio 15-24","7.7"
"2004","Euro area (17 countries)","Males","Total population","154 152.0"
"2004","Euro area (17 countries)","Males","Population (15 to 64 years)","105 714.3"
"2004","Euro area (17 countries)","Males","Active population","83 601.9"
"2004","Euro area (17 countries)","Males","Growth of active population","0.3"
"2004","Euro area (17 countries)","Males","Activity rate (15 to 64 years)","77.8"
"2004","Euro area (17 countries)","Males","Activity rate (15 to 24 years)","47.5"
"2004","Euro area (17 countries)","Males","Activity rate (20 to 64 years)","82.9"
"2004","Euro area (17 countries)","Males","Activity rate (25 to 54 years)","92.8"
"2004","Euro area (17 countries)","Males","Activity rate (55 to 64 years)","52.6"
"2004","Euro area (17 countries)","Males","Youth unemployment ratio 15-24","7.9"
"2004","Euro area (17 countries)","Females","Total population","161 814.8"
"2004","Euro area (17 countries)","Females","Population (15 to 64 years)","105 815.7"
"2004","Euro area (17 countries)","Females","Active population","65 179.7"
"2004","Euro area (17 countries)","Females","Growth of active population","2.0"
"2004","Euro area (17 countries)","Females","Activity rate (15 to 64 years)","61.0"
"2004","Euro area (17 countries)","Females","Activity rate (15 to 24 years)","40.3"
"2004","Euro area (17 countries)","Females","Activity rate (20 to 64 years)","64.9"
"2004","Euro area (17 countries)","Females","Activity rate (25 to 54 years)","74.7"
"2004","Euro area (17 countries)","Females","Activity rate (55 to 64 years)","31.4"
"2004","Euro area (17 countries)","Females","Youth unemployment ratio 15-24","7.4"
"2004","Euro area (13 countries)","Total","Total population","308 135.5"
"2004","Euro area (13 countries)","Total","Population (15 to 64 years)","206 077.8"
"2004","Euro area (13 countries)","Total","Active population","144 960.1"
"2004","Euro area (13 countries)","Total","Growth of active population","1.0"
"2004","Euro area (13 countries)","Total","Activity rate (15 to 64 years)","69.4"
"2004","Euro area (13 countries)","Total","Activity rate (15 to 24 years)","44.1"
"2004","Euro area (13 countries)","Total","Activity rate (20 to 64 years)","73.8"
"2004","Euro area (13 countries)","Total","Activity rate (25 to 54 years)","83.7"
"2004","Euro area (13 countries)","Total","Activity rate (55 to 64 years)","41.8"
"2004","Euro area (13 countries)","Total","Youth unemployment ratio 15-24","7.6"
"2004","Euro area (13 countries)","Males","Total population","150 387.2"
"2004","Euro area (13 countries)","Males","Population (15 to 64 years)","103 035.0"
"2004","Euro area (13 countries)","Males","Active population","81 517.7"
"2004","Euro area (13 countries)","Males","Growth of active population","0.3"
"2004","Euro area (13 countries)","Males","Activity rate (15 to 64 years)","77.9"
"2004","Euro area (13 countries)","Males","Activity rate (15 to 24 years)","47.7"
"2004","Euro area (13 countries)","Males","Activity rate (20 to 64 years)","82.9"
"2004","Euro area (13 countries)","Males","Activity rate (25 to 54 years)","92.8"
"2004","Euro area (13 countries)","Males","Activity rate (55 to 64 years)","52.5"
"2004","Euro area (13 countries)","Males","Youth unemployment ratio 15-24","7.8"
"2004","Euro area (13 countries)","Females","Total population","157 748.3"
"2004","Euro area (13 countries)","Females","Population (15 to 64 years)","103 042.8"
"2004","Euro area (13 countries)","Females","Active population","63 442.2"
"2004","Euro area (13 countries)","Females","Growth of active population","2.0"
"2004","Euro area (13 countries)","Females","Activity rate (15 to 64 years)","61.0"
"2004","Euro area (13 countries)","Females","Activity rate (15 to 24 years)","40.5"
"2004","Euro area (13 countries)","Females","Activity rate (20 to 64 years)","64.8"
"2004","Euro area (13 countries)","Females","Activity rate (25 to 54 years)","74.5"
"2004","Euro area (13 countries)","Females","Activity rate (55 to 64 years)","31.6"
"2004","Euro area (13 countries)","Females","Youth unemployment ratio 15-24","7.4"
"2004","Belgium","Total","Total population","10 395.7"
"2004","Belgium","Total","Population (15 to 64 years)","6 818.4"
"2004","Belgium","Total","Active population","4 517.9"
"2004","Belgium","Total","Growth of active population","1.9"
"2004","Belgium","Total","Activity rate (15 to 64 years)","65.9"
"2004","Belgium","Total","Activity rate (15 to 24 years)","35.3"
"2004","Belgium","Total","Activity rate (20 to 64 years)","71.4"
"2004","Belgium","Total","Activity rate (25 to 54 years)","83.4"
"2004","Belgium","Total","Activity rate (55 to 64 years)","31.2"
"2004","Belgium","Total","Youth unemployment ratio 15-24","7.5"
"2004","Belgium","Males","Total population","5 085.7"
"2004","Belgium","Males","Population (15 to 64 years)","3 443.4"
"2004","Belgium","Males","Active population","2 545.2"
"2004","Belgium","Males","Growth of active population","1.4"
"2004","Belgium","Males","Activity rate (15 to 64 years)","73.4"
"2004","Belgium","Males","Activity rate (15 to 24 years)","37.7"
"2004","Belgium","Males","Activity rate (20 to 64 years)","79.6"
"2004","Belgium","Males","Activity rate (25 to 54 years)","91.8"
"2004","Belgium","Males","Activity rate (55 to 64 years)","40.4"
"2004","Belgium","Males","Youth unemployment ratio 15-24","7.6"
"2004","Belgium","Females","Total population","5 309.9"
"2004","Belgium","Females","Population (15 to 64 years)","3 375.0"
"2004","Belgium","Females","Active population","1 973.0"
"2004","Belgium","Females","Growth of active population","2.5"
"2004","Belgium","Females","Activity rate (15 to 64 years)","58.2"
"2004","Belgium","Females","Activity rate (15 to 24 years)","32.8"
"2004","Belgium","Females","Activity rate (20 to 64 years)","63.1"
"2004","Belgium","Females","Activity rate (25 to 54 years)","74.8"
"2004","Belgium","Females","Activity rate (55 to 64 years)","22.1"
"2004","Belgium","Females","Youth unemployment ratio 15-24","7.3"
"2004","Bulgaria","Total","Total population","7 785.5"
"2004","Bulgaria","Total","Population (15 to 64 years)","5 305.5"
"2004","Bulgaria","Total","Active population","3 326.1"
"2004","Bulgaria","Total","Growth of active population","1.3"
"2004","Bulgaria","Total","Activity rate (15 to 64 years)","61.8"
"2004","Bulgaria","Total","Activity rate (15 to 24 years)","28.9"
"2004","Bulgaria","Total","Activity rate (20 to 64 years)","68.1"
"2004","Bulgaria","Total","Activity rate (25 to 54 years)","79.9"
"2004","Bulgaria","Total","Activity rate (55 to 64 years)","36.2"
"2004","Bulgaria","Total","Youth unemployment ratio 15-24","7.5"
"2004","Bulgaria","Males","Total population","3 775.1"
"2004","Bulgaria","Males","Population (15 to 64 years)","2 622.5"
"2004","Bulgaria","Males","Active population","1 775.1"
"2004","Bulgaria","Males","Growth of active population","1.7"
"2004","Bulgaria","Males","Activity rate (15 to 64 years)","66.4"
"2004","Bulgaria","Males","Activity rate (15 to 24 years)","31.8"
"2004","Bulgaria","Males","Activity rate (20 to 64 years)","73.5"
"2004","Bulgaria","Males","Activity rate (25 to 54 years)","82.9"
"2004","Bulgaria","Males","Activity rate (55 to 64 years)","47.2"
"2004","Bulgaria","Males","Youth unemployment ratio 15-24","8.6"
"2004","Bulgaria","Females","Total population","4 010.4"
"2004","Bulgaria","Females","Population (15 to 64 years)","2 683.0"
"2004","Bulgaria","Females","Active population","1 551.0"
"2004","Bulgaria","Females","Growth of active population","0.9"
"2004","Bulgaria","Females","Activity rate (15 to 64 years)","57.2"
"2004","Bulgaria","Females","Activity rate (15 to 24 years)","25.9"
"2004","Bulgaria","Females","Activity rate (20 to 64 years)","62.9"
"2004","Bulgaria","Females","Activity rate (25 to 54 years)","76.8"
"2004","Bulgaria","Females","Activity rate (55 to 64 years)","26.8"
"2004","Bulgaria","Females","Youth unemployment ratio 15-24","6.3"
"2004","Czech Republic","Total","Total population","10 195.5"
"2004","Czech Republic","Total","Population (15 to 64 years)","7 230.6"
"2004","Czech Republic","Total","Active population","5 116.3"
"2004","Czech Republic","Total","Growth of active population","0.4"
"2004","Czech Republic","Total","Activity rate (15 to 64 years)","70.0"
"2004","Czech Republic","Total","Activity rate (15 to 24 years)","35.2"
"2004","Czech Republic","Total","Activity rate (20 to 64 years)","76.2"
"2004","Czech Republic","Total","Activity rate (25 to 54 years)","87.8"
"2004","Czech Republic","Total","Activity rate (55 to 64 years)","45.1"
"2004","Czech Republic","Total","Youth unemployment ratio 15-24","7.4"
"2004","Czech Republic","Males","Total population","4 958.7"
"2004","Czech Republic","Males","Population (15 to 64 years)","3 615.7"
"2004","Czech Republic","Males","Active population","2 848.3"
"2004","Czech Republic","Males","Growth of active population","0.8"
"2004","Czech Republic","Males","Activity rate (15 to 64 years)","77.9"
"2004","Czech Republic","Males","Activity rate (15 to 24 years)","38.7"
"2004","Czech Republic","Males","Activity rate (20 to 64 years)","84.9"
"2004","Czech Republic","Males","Activity rate (25 to 54 years)","94.6"
"2004","Czech Republic","Males","Activity rate (55 to 64 years)","60.2"
"2004","Czech Republic","Males","Youth unemployment ratio 15-24","8.6"
"2004","Czech Republic","Females","Total population","5 236.8"
"2004","Czech Republic","Females","Population (15 to 64 years)","3 614.9"
"2004","Czech Republic","Females","Active population","2 268.0"
"2004","Czech Republic","Females","Growth of active population","-0.2"
"2004","Czech Republic","Females","Activity rate (15 to 64 years)","62.2"
"2004","Czech Republic","Females","Activity rate (15 to 24 years)","31.5"
"2004","Czech Republic","Females","Activity rate (20 to 64 years)","67.5"
"2004","Czech Republic","Females","Activity rate (25 to 54 years)","80.9"
"2004","Czech Republic","Females","Activity rate (55 to 64 years)","31.3"
"2004","Czech Republic","Females","Youth unemployment ratio 15-24","6.1"
"2004","Denmark","Total","Total population","5 379.0"
"2004","Denmark","Total","Population (15 to 64 years)","3 559.2"
"2004","Denmark","Total","Active population","2 897.9"
"2004","Denmark","Total","Growth of active population","1.2"
"2004","Denmark","Total","Activity rate (15 to 64 years)","80.1"
"2004","Denmark","Total","Activity rate (15 to 24 years)","67.9"
"2004","Denmark","Total","Activity rate (20 to 64 years)","82.0"
"2004","Denmark","Total","Activity rate (25 to 54 years)","88.2"
"2004","Denmark","Total","Activity rate (55 to 64 years)","63.9"
"2004","Denmark","Total","Youth unemployment ratio 15-24","5.6"
"2004","Denmark","Males","Total population","2 662.2"
"2004","Denmark","Males","Population (15 to 64 years)","1 797.5"
"2004","Denmark","Males","Active population","1 543.0"
"2004","Denmark","Males","Growth of active population","0.5"
"2004","Denmark","Males","Activity rate (15 to 64 years)","84.0"
"2004","Denmark","Males","Activity rate (15 to 24 years)","69.7"
"2004","Denmark","Males","Activity rate (20 to 64 years)","86.3"
"2004","Denmark","Males","Activity rate (25 to 54 years)","91.5"
"2004","Denmark","Males","Activity rate (55 to 64 years)","71.3"
"2004","Denmark","Males","Youth unemployment ratio 15-24","6.2"
"2004","Denmark","Females","Total population","2 716.9"
"2004","Denmark","Females","Population (15 to 64 years)","1 761.7"
"2004","Denmark","Females","Active population","1 354.7"
"2004","Denmark","Females","Growth of active population","1.9"
"2004","Denmark","Females","Activity rate (15 to 64 years)","76.2"
"2004","Denmark","Females","Activity rate (15 to 24 years)","66.0"
"2004","Denmark","Females","Activity rate (20 to 64 years)","77.7"
"2004","Denmark","Females","Activity rate (25 to 54 years)","84.8"
"2004","Denmark","Females","Activity rate (55 to 64 years)","56.5"
"2004","Denmark","Females","Youth unemployment ratio 15-24","4.9"
"2004","Germany (until 1990 former territory of the FRG)","Total","Total population","81 589.1"
"2004","Germany (until 1990 former territory of the FRG)","Total","Population (15 to 64 years)","54 449.7"
"2004","Germany (until 1990 former territory of the FRG)","Total","Active population","40 091.7"
"2004","Germany (until 1990 former territory of the FRG)","Total","Growth of active population","0.2"
"2004","Germany (until 1990 former territory of the FRG)","Total","Activity rate (15 to 64 years)","72.6"
"2004","Germany (until 1990 former territory of the FRG)","Total","Activity rate (15 to 24 years)","48.0"
"2004","Germany (until 1990 former territory of the FRG)","Total","Activity rate (20 to 64 years)","76.7"
"2004","Germany (until 1990 former territory of the FRG)","Total","Activity rate (25 to 54 years)","86.5"
"2004","Germany (until 1990 former territory of the FRG)","Total","Activity rate (55 to 64 years)","47.8"
"2004","Germany (until 1990 former territory of the FRG)","Total","Youth unemployment ratio 15-24","6.0"
"2004","Germany (until 1990 former territory of the FRG)","Males","Total population","39 947.4"
"2004","Germany (until 1990 former territory of the FRG)","Males","Population (15 to 64 years)","27 450.8"
"2004","Germany (until 1990 former territory of the FRG)","Males","Active population","22 119.2"
"2004","Germany (until 1990 former territory of the FRG)","Males","Growth of active population","-0.2"
"2004","Germany (until 1990 former territory of the FRG)","Males","Activity rate (15 to 64 years)","79.2"
"2004","Germany (until 1990 former territory of the FRG)","Males","Activity rate (15 to 24 years)","50.8"
"2004","Germany (until 1990 former territory of the FRG)","Males","Activity rate (20 to 64 years)","83.9"
"2004","Germany (until 1990 former territory of the FRG)","Males","Activity rate (25 to 54 years)","93.0"
"2004","Germany (until 1990 former territory of the FRG)","Males","Activity rate (55 to 64 years)","57.8"
"2004","Germany (until 1990 former territory of the FRG)","Males","Youth unemployment ratio 15-24","7.2"
"2004","Germany (until 1990 former territory of the FRG)","Females","Total population","41 641.7"
"2004","Germany (until 1990 former territory of the FRG)","Females","Population (15 to 64 years)","26 998.9"
"2004","Germany (until 1990 former territory of the FRG)","Females","Active population","17 972.5"
"2004","Germany (until 1990 former territory of the FRG)","Females","Growth of active population","0.6"
"2004","Germany (until 1990 former territory of the FRG)","Females","Activity rate (15 to 64 years)","65.8"
"2004","Germany (until 1990 former territory of the FRG)","Females","Activity rate (15 to 24 years)","45.0"
"2004","Germany (until 1990 former territory of the FRG)","Females","Activity rate (20 to 64 years)","69.5"
"2004","Germany (until 1990 former territory of the FRG)","Females","Activity rate (25 to 54 years)","79.7"
"2004","Germany (until 1990 former territory of the FRG)","Females","Activity rate (55 to 64 years)","37.8"
"2004","Germany (until 1990 former territory of the FRG)","Females","Youth unemployment ratio 15-24","4.9"
"2004","Estonia","Total","Total population","1 348.4"
"2004","Estonia","Total","Population (15 to 64 years)","909.5"
"2004","Estonia","Total","Active population","660.8"
"2004","Estonia","Total","Growth of active population","-0.4"
"2004","Estonia","Total","Activity rate (15 to 64 years)","70.0"
"2004","Estonia","Total","Activity rate (15 to 24 years)","34.7"
"2004","Estonia","Total","Activity rate (20 to 64 years)","77.8"
"2004","Estonia","Total","Activity rate (25 to 54 years)","86.5"
"2004","Estonia","Total","Activity rate (55 to 64 years)","55.7"
"2004","Estonia","Total","Youth unemployment ratio 15-24","7.5"
"2004","Estonia","Males","Total population","619.0"
"2004","Estonia","Males","Population (15 to 64 years)","433.2"
"2004","Estonia","Males","Active population","334.4"
"2004","Estonia","Males","Growth of active population","-1.2"
"2004","Estonia","Males","Activity rate (15 to 64 years)","74.4"
"2004","Estonia","Males","Activity rate (15 to 24 years)","41.6"
"2004","Estonia","Males","Activity rate (20 to 64 years)","83.0"
"2004","Estonia","Males","Activity rate (25 to 54 years)","90.1"
"2004","Estonia","Males","Activity rate (55 to 64 years)","60.7"
"2004","Estonia","Males","Youth unemployment ratio 15-24","8.8"
"2004","Estonia","Females","Total population","729.3"
"2004","Estonia","Females","Population (15 to 64 years)","476.3"
"2004","Estonia","Females","Active population","326.1"
"2004","Estonia","Females","Growth of active population","0.5"
"2004","Estonia","Females","Activity rate (15 to 64 years)","66.0"
"2004","Estonia","Females","Activity rate (15 to 24 years)","27.8"
"2004","Estonia","Females","Activity rate (20 to 64 years)","73.1"
"2004","Estonia","Females","Activity rate (25 to 54 years)","83.2"
"2004","Estonia","Females","Activity rate (55 to 64 years)","51.9"
"2004","Estonia","Females","Youth unemployment ratio 15-24","6.2"
"2004","Ireland","Total","Total population","4 059.2"
"2004","Ireland","Total","Population (15 to 64 years)","2 761.3"
"2004","Ireland","Total","Active population","1 952.7"
"2004","Ireland","Total","Growth of active population","2.8"
"2004","Ireland","Total","Activity rate (15 to 64 years)","69.5"
"2004","Ireland","Total","Activity rate (15 to 24 years)","52.4"
"2004","Ireland","Total","Activity rate (20 to 64 years)","74.6"
"2004","Ireland","Total","Activity rate (25 to 54 years)","79.9"
"2004","Ireland","Total","Activity rate (55 to 64 years)","50.8"
"2004","Ireland","Total","Youth unemployment ratio 15-24","4.7"
"2004","Ireland","Males","Total population","2 018.3"
"2004","Ireland","Males","Population (15 to 64 years)","1 386.8"
"2004","Ireland","Males","Active population","1 135.1"
"2004","Ireland","Males","Growth of active population","2.7"
"2004","Ireland","Males","Activity rate (15 to 64 years)","79.9"
"2004","Ireland","Males","Activity rate (15 to 24 years)","55.9"
"2004","Ireland","Males","Activity rate (20 to 64 years)","86.1"
"2004","Ireland","Males","Activity rate (25 to 54 years)","91.8"
"2004","Ireland","Males","Activity rate (55 to 64 years)","66.9"
"2004","Ireland","Males","Youth unemployment ratio 15-24","5.2"
"2004","Ireland","Females","Total population","2 040.9"
"2004","Ireland","Females","Population (15 to 64 years)","1 374.5"
"2004","Ireland","Females","Active population","817.8"
"2004","Ireland","Females","Growth of active population","3.0"
"2004","Ireland","Females","Activity rate (15 to 64 years)","59.0"
"2004","Ireland","Females","Activity rate (15 to 24 years)","48.8"
"2004","Ireland","Females","Activity rate (20 to 64 years)","63.1"
"2004","Ireland","Females","Activity rate (25 to 54 years)","68.0"
"2004","Ireland","Females","Activity rate (55 to 64 years)","34.4"
"2004","Ireland","Females","Youth unemployment ratio 15-24","4.2"
"2004","Greece","Total","Total population","10 616.2"
"2004","Greece","Total","Population (15 to 64 years)","7 129.2"
"2004","Greece","Total","Active population","4 818.9"
"2004","Greece","Total","Growth of active population","2.1"
"2004","Greece","Total","Activity rate (15 to 64 years)","66.5"
"2004","Greece","Total","Activity rate (15 to 24 years)","36.7"
"2004","Greece","Total","Activity rate (20 to 64 years)","71.4"
"2004","Greece","Total","Activity rate (25 to 54 years)","81.1"
"2004","Greece","Total","Activity rate (55 to 64 years)","41.3"
"2004","Greece","Total","Youth unemployment ratio 15-24","9.9"
"2004","Greece","Males","Total population","5 207.4"
"2004","Greece","Males","Population (15 to 64 years)","3 545.1"
"2004","Greece","Males","Active population","2 859.4"
"2004","Greece","Males","Growth of active population","1.1"
"2004","Greece","Males","Activity rate (15 to 64 years)","79.0"
"2004","Greece","Males","Activity rate (15 to 24 years)","40.0"
"2004","Greece","Males","Activity rate (20 to 64 years)","85.0"
"2004","Greece","Males","Activity rate (25 to 54 years)","94.6"
"2004","Greece","Males","Activity rate (55 to 64 years)","58.9"
"2004","Greece","Males","Youth unemployment ratio 15-24","7.6"
"2004","Greece","Females","Total population","5 408.8"
"2004","Greece","Females","Population (15 to 64 years)","3 584.0"
"2004","Greece","Females","Active population","1 959.5"
"2004","Greece","Females","Growth of active population","3.7"
"2004","Greece","Females","Activity rate (15 to 64 years)","54.1"
"2004","Greece","Females","Activity rate (15 to 24 years)","33.4"
"2004","Greece","Females","Activity rate (20 to 64 years)","58.0"
"2004","Greece","Females","Activity rate (25 to 54 years)","67.6"
"2004","Greece","Females","Activity rate (55 to 64 years)","25.2"
"2004","Greece","Females","Youth unemployment ratio 15-24","12.1"
"2004","Spain","Total","Total population","42 440.2"
"2004","Spain","Total","Population (15 to 64 years)","29 226.7"
"2004","Spain","Total","Active population","20 184.3"
"2004","Spain","Total","Growth of active population","3.3"
"2004","Spain","Total","Activity rate (15 to 64 years)","68.7"
