"CITING","CITED"
4317938,2870220
5032570,4408067
5868703,4531936
5193501,1156188
4759754,4701178
5535481,5412301
4278059,4120373
4657380,3543643
4694033,2889293
5194633,4885116
5232293,3893389
5870724,5025372
4898583,4560375
4387567,4183214
4218290,3452810
4112283,2814701
4761616,3868595
5506738,5140487
4192499,2465187
4521380,2627978
5571550,4109566
4271256,3730717
5353241,4750349
5811973,5187661
5702651,4275110
5476167,4212581
4547389,1906295
5597105,3942190
5894223,5361029
5397113,4699099
4278355,3941357
4490106,1981299
5160075,3861701
5240478,4767427
4504330,4263336
5405085,5135166
5580349,4645482
6005622,5116287
5900177,2266002
4338645,4172231
5689313,5299025
5263778,4717268
5344538,4419192
5994529,5075217
4162844,4046467
5716427,5145494
4762740,1260002
3964042,2760182
5422926,4563769
4925503,4456493
5493449,2407347
5567190,4733496
5739533,4009516
4620187,3458665
4439492,4201742
4960891,3478051
4358242,3972420
5500953,4668270
5833225,5718420
5322489,4781374
5440328,4540992
5062530,3360027
5549213,4706829
5940493,5638425
3921750,2822441
5599223,4508577
4334305,3755789
4654456,4268420
4042202,777113
4420958,3367891
4680217,4461797
3967374,3855697
5628146,4771573
5124129,3114610
5769046,4909133
4750450,2629115
5992769,5308442
4900821,2813858
5974487,5590124
5584696,4647966
5161310,4953302
3896751,2996029
5926217,4499497
5928229,4887614
5640031,5108939
5235486,5023739
5435720,4063360
4513523,4291482
4041276,3330941
5053617,4956607
5645589,5356413
4993933,4529371
4779360,4246707
4412830,2827229
5701865,4969439
4617733,3601890
3891876,2623187
5240709,2980577
5054864,3666169
4170402,3771853
4390144,3141631
5079144,4066511
5225530,4886782
5527566,4609445
4787873,2749656
5386126,5031013
5099378,3913145
5230697,4940044
5458935,4138375
4259198,3641194
4665114,3507827
5384481,4700465
5801763,5280530
5469862,3696317
4008124,3645852
4690408,1720867
5457930,3961461
4711009,4153663
4529392,4124999
5594706,5294998
5650874,4253723
5920456,5511301
5607101,4840275
5798201,4992356
5891511,3892472
5288396,4767734
5436243,4990538
4022233,321722
4026755,3729362
5884770,4949482
5407969,4719297
5671463,5079598
5110655,4699842
5015137,3907271
4984914,2862708
5941847,2522108
4615429,3621973
5120683,4495123
4993758,4400026
5952012,4995798
5402590,4034241
5860280,4934150
6002884,5285894
5892598,5418631
5756431,4152499
4061909,3605002
5668699,4851614
5773984,5373443
4934430,2884040
4895141,4584995
5238842,4415662
5853086,5617951
5278676,4367493
5471952,3622717
5054906,2702540
5745181,5504530
5880796,4580877
4972854,4702264
5849550,4033823
4159154,3963317
5066276,4670006
4748083,3291775
5019217,4673465
5124098,4572740
5024683,3754050
5948887,5350836
5735092,3512819
5709285,4324387
4973417,3997459
5118608,4882288
4413035,3486232
4755966,4514804
5426080,4759330
5398618,3469892
4068625,3403531
4672424,4323916
4304726,4157391
5587198,4526525
5251405,4885874
4560116,2888258
5996405,4612804
4494061,4320493
4499588,4310720
5868929,3306794
5834709,4697050
4544434,4264396
4717188,3291519
5057936,4779106
3951052,2826984
5822318,4225976
4942965,4491225
5320628,4723544
5010676,1939700
5088024,4620278
4881317,913013
4537269,3513929
5040638,2894605
5888605,4941893
5852743,5680624
5179538,4742488
4004688,3092253
4552246,4257490
4707643,4108093
5861007,5334220
4513099,3915897
5910077,2111059
5346788,3855122
4635602,3630643
5144601,4882718
5077837,4599747
5784645,4896262
5737805,823372
5241730,4290177
5759732,4997739
5031735,3352392
4311274,1442787
5292432,4869816
4868024,4518388
4807927,3828994
5096308,4696583
5974937,1958420
5332005,4315431
5782448,5297767
4116752,3117934
4497835,3615672
5378392,5184847
5575344,5375667
5222821,4063827
5479640,4823324
5494861,5202283
4832181,4265357
4952331,4004167
4552296,2775763
4373623,3146899
5922723,4927838
5977051,3976588
5860470,3099520
4263750,4123100
4197839,2929375
5327638,4875987
3977252,2978899
5061004,4652982
5752557,5141044
4768335,3321900
5374966,3538445
5472998,3922253
4165480,4084209
4110743,3768090
4250335,3658853
4329570,2439209
4678051,3439425
4093799,3272806
4222268,3469451
5451437,4874094
4438999,1877103
5351650,2499483
4217664,3783868
4932655,4303240
4980758,4591905
5418677,4644566
5593345,4316349
5544405,1000089
5758131,5600824
5451489,4649338
5660014,2335493
4514525,3981829
5561226,4421852
4098443,1189826
4517286,2322027
5318758,2487576
5958236,3970549
5642198,4656360
5186207,2452441
4322104,3383130
6007777,5132094
5964219,5423313
5962412,3715343
4660459,4488475
4203936,2252991
4313919,4136199
5538575,4781785
5475622,4573355
4314007,3087234
4745995,4657120
3932265,3563880
3937040,3748870
3961868,1470548
4358773,2682608
5805280,4899214
5255586,2968205
4046260,3109618
3956450,3283378
3943398,3449616
4627224,3987602
6007227,4751648
5076429,4488643
4086750,3701243
4868966,4096896
5600938,4398379
5195040,4845495
4196434,3803604
4038425,2480679
5324361,5176924
5355837,3752121
4289115,4000851
5929400,5773938
5756234,5656399
4145892,2512308
5537959,4512298
4582571,4064189
5394648,4888915
5645616,3323858
4927315,4490951
4448616,1803007
4969319,4809489
5472851,4661453
5652083,5380546
5495814,3919951
4899673,3894500
4853699,4134113
5735451,5178682
4339907,4182101
5539822,5283734
3956946,3282131
5531908,4270994
4725035,4025717
4524960,3142787
5189778,4422581
4005361,3122729
4500671,4179479
4374822,3410695
4980423,4382128
5625180,4808018
4036929,3917786
5877309,5098890
5720727,4737150
5270245,4969712
5068279,4904393
4319566,3565072
5027862,4643229
5474725,5032381
4220767,3544570
5963399,4683506
5229583,3515849
4540560,4077761
5191075,4739047
5000872,4246919
5996404,4238952
5101797,4653454
5449763,4483979
4776303,4557227
4766016,950277
4258856,3913289
5035789,4414071
5766552,4816224
5061534,3958721
5005428,3326041
5928492,4017390
4373390,4215404
4543752,3737238
5869471,4264582
4983932,4882561
5368526,1264193
5859258,5138069
5597999,5333028
4043451,2863595
5252074,3001530
3909395,3278562
5511317,3666368
5546408,4937826
4982517,4802294
5192115,3307879
5609943,5006624
5872457,4590471
4067528,1599986
3909018,3048415
5119668,4089206
5856194,5414251
5229204,4594290
4854272,4535732
5000111,4401050
5772916,4992302
5765433,4748846
5075075,4684497
5599664,4870004
5427049,4979454
5486553,4818604
5869790,4797514
4685831,12718
4326440,3762259
4383317,4146099
4850863,4039280
5696193,3950313
5215382,4910930
5248083,4487363
5710466,5113100
5927177,3251305
5422370,4929722
4171400,3359066
4321190,2514185
4053221,3779642
3885414,3247702
5785274,5582362
4297081,4179242
5664048,4107585
5906584,5596995
5623271,4630064
4509758,3746342
4721326,4376604
4831722,4015328
5459660,4831560
5931016,5564281
5768422,5161204
5205610,376886
5169311,3975824
4716180,2604092
4790838,4079739
4460818,1599894
5282041,4800435
4357617,3961337
4712667,1425112
6005501,5319735
4106006,3125753
5503546,1000089
5832796,5507211
4901258,4712141
5431078,4249445
4577109,3591810
5066091,4179320
5567719,4877804
4312466,3252638
5266650,4259463
5796772,5029184
5419157,5052193
5889617,5530590
4731966,4188681
4748733,4416848
5950183,5301258
4395383,3087210
5607675,4946674
4541490,3084745
5916234,5078736
5247872,5111733
5309899,4669453
4565021,4064815
5539048,4720576
5263857,4238188
5678567,1076534
5462468,3712699
5663885,4546434
4703917,3724816
5727225,5051940
5184354,2546842
4318319,3545321
5786522,4876391
4274467,2703140
3878900,3043034
5878492,4281942
4277907,1579111
4280987,2806766
5810666,3734510
4950354,3285793
5146194,2471608
5432932,5062055
3965259,3498793
4139469,1310686
4090495,3951129
5556090,3971558
5133720,4739751
5822936,2170637
5995727,5392071
5271042,4748626
5064600,4774263
5533926,2350098
4117485,2931031
4630181,4494175
5510050,5264145
5683431,5165404
5227286,4828962
5549971,4414164
4906987,4605941
5973669,4933670
4499669,3330050
5090766,3512825
4936381,4825941
5522486,3892437
5290345,3411273
4353483,3788549
5604229,3660488
5660302,3133666
6004336,5881943
5932532,4670178
3913118,3604799
5763195,5149779
5471247,5070402
5513327,4719627
4637336,3556170
4596870,4399140
5850948,4323175
4321163,4196178
5247474,5001445
4402658,3239881
5836347,3785393
5161891,4075889
5768937,5060506
4374877,3174886
5625462,5270831
5746446,3573885
5724743,4338027
5855874,5496542
4848835,4350367
3995179,2803129
5556535,5395537
5764439,5214551
5711022,4332517
5833874,4089804
