clase;sobreviviente;sexo;edad;tarifa;embarque
primera;1;mujer;21;77,9582977;Southampton
primera;0;hombre;30;45,5;Southampton
primera;1;mujer;58;146,520798;Cherbourg
primera;1;mujer;15;211,337494;Southampton
primera;0;hombre;30;26;Southampton
primera;1;mujer;16;86,5;Southampton
primera;0;hombre;19;53,0999985;Southampton
primera;1;mujer;18;53,0999985;Southampton
primera;1;mujer;24;49,5042;Cherbourg
primera;0;hombre;46;75,2416992;Cherbourg
primera;0;hombre;54;51,8624992;Southampton
primera;1;hombre;36;26,2875004;Southampton
primera;0;hombre;28;82,1707993;Cherbourg
primera;0;hombre;65;26,5499992;Southampton
primera;0;hombre;44;90;Queenstown
primera;1;mujer;33;90;Queenstown
primera;1;mujer;37;90;Queenstown
primera;1;hombre;30;57,75;Cherbourg
primera;0;hombre;55;30,5;Southampton
primera;0;hombre;47;42,4000015;Southampton
primera;0;hombre;37;29,7000008;Cherbourg
primera;1;mujer;31;113,275002;Cherbourg
primera;1;mujer;23;113,275002;Cherbourg
primera;0;hombre;58;113,275002;Cherbourg
primera;1;mujer;19;26,2833004;Southampton
primera;0;hombre;64;26;Southampton
primera;1;mujer;39;108,900002;Cherbourg
primera;1;mujer;22;61,9791985;Cherbourg
primera;0;hombre;65;61,9791985;Cherbourg
primera;0;hombre;28,5;27,7208004;Cherbourg
primera;0;hombre;45,5;28,5;Southampton
primera;0;hombre;23;93,5;Southampton
primera;0;hombre;29;66,5999985;Southampton
primera;1;mujer;22;66,5999985;Southampton
primera;0;hombre;18;108,900002;Cherbourg
primera;1;mujer;17;108,900002;Cherbourg
primera;1;mujer;30;93,5;Southampton
primera;1;hombre;52;30,5;Southampton
primera;0;hombre;47;52;Southampton
primera;1;mujer;56;83,1583023;Cherbourg
primera;0;hombre;38;0;Southampton
primera;0;hombre;22;135,633301;Cherbourg
primera;1;mujer;43;211,337494;Southampton
primera;0;hombre;31;50,4958;Southampton
primera;1;hombre;45;26,5499992;Southampton
primera;1;mujer;33;27,7208004;Cherbourg
primera;0;hombre;46;79,1999969;Cherbourg
primera;0;hombre;36;40,125;Cherbourg
primera;1;mujer;33;86,5;Southampton
primera;0;hombre;55;59,4000015;Cherbourg
primera;1;mujer;54;59,4000015;Cherbourg
primera;0;hombre;33;26,5499992;Southampton
primera;1;hombre;13;262,375;Cherbourg
primera;1;mujer;18;262,375;Cherbourg
primera;1;mujer;21;262,375;Cherbourg
primera;0;hombre;61;262,375;Cherbourg
primera;1;mujer;48;262,375;Cherbourg
primera;1;mujer;24;69,3000031;Cherbourg
primera;1;mujer;35;57,75;Cherbourg
primera;1;mujer;30;31;Cherbourg
primera;1;hombre;34;26,5499992;Southampton
primera;1;mujer;40;153,462494;Southampton
primera;1;hombre;35;26,2875004;Southampton
primera;0;hombre;50;55,9000015;Southampton
primera;1;mujer;39;55,9000015;Southampton
primera;1;hombre;56;35,5;Cherbourg
primera;1;hombre;28;35,5;Southampton
primera;0;hombre;56;26,5499992;Southampton
primera;0;hombre;56;30,6958008;Cherbourg
primera;0;hombre;24;60;Southampton
primera;1;mujer;18;60;Southampton
primera;1;hombre;24;82,2667007;Southampton
primera;1;mujer;23;82,2667007;Southampton
primera;1;hombre;6;134,5;Cherbourg
primera;1;hombre;45;134,5;Cherbourg
primera;1;mujer;40;134,5;Cherbourg
primera;0;hombre;57;146,520798;Cherbourg
primera;1;hombre;32;30,5;Cherbourg
primera;0;hombre;62;26,5499992;Southampton
primera;1;hombre;54;55,4417;Cherbourg
primera;1;mujer;43;55,4417;Cherbourg
primera;1;mujer;52;78,2667007;Cherbourg
primera;0;hombre;67;221,779205;Southampton
primera;0;mujer;63;221,779205;Southampton
primera;0;hombre;61;32,3208008;Southampton
primera;1;mujer;48;25,9291992;Southampton
primera;1;mujer;18;79,6500015;Southampton
primera;0;hombre;52;79,6500015;Southampton
primera;1;mujer;39;79,6500015;Southampton
primera;1;hombre;48;52;Southampton
primera;0;hombre;49;110,883301;Cherbourg
primera;1;hombre;17;110,883301;Cherbourg
primera;1;mujer;39;110,883301;Cherbourg
primera;1;hombre;31;28,5375004;Cherbourg
primera;0;hombre;40;27,7208004;Cherbourg
primera;0;hombre;61;33,5;Southampton
primera;0;hombre;47;34,0208015;Southampton
primera;1;mujer;35;512,329224;Cherbourg
primera;0;hombre;64;75,25;Cherbourg
primera;1;mujer;60;75,25;Cherbourg
primera;0;hombre;60;26,5499992;Southampton
primera;0;hombre;54;77,2874985;Southampton
primera;0;hombre;21;77,2874985;Southampton
primera;1;mujer;55;135,633301;Cherbourg
primera;1;mujer;31;164,866699;Southampton
primera;0;hombre;57;164,866699;Southampton
primera;1;mujer;45;164,866699;Southampton
primera;0;hombre;50;211,5;Cherbourg
primera;0;hombre;27;211,5;Cherbourg
primera;1;mujer;50;211,5;Cherbourg
primera;1;mujer;21;26,5499992;Southampton
primera;0;hombre;51;61,3792;Cherbourg
primera;1;hombre;21;61,3792;Cherbourg
primera;1;mujer;31;134,5;Cherbourg
primera;0;hombre;62;26,5499992;Southampton
primera;1;mujer;36;135,633301;Cherbourg
segunda;0;hombre;30;24;Cherbourg
segunda;1;mujer;28;24;Cherbourg
segunda;0;hombre;30;13;Southampton
segunda;0;hombre;18;11,5;Southampton
segunda;0;hombre;25;10,5;Southampton
segunda;0;hombre;34;26;Southampton
segunda;1;mujer;36;26;Southampton
segunda;0;hombre;57;13;Southampton
segunda;0;hombre;18;11,5;Southampton
segunda;0;hombre;23;10,5;Southampton
segunda;1;mujer;36;13;Southampton
segunda;0;hombre;28;10,5;Southampton
segunda;0;hombre;51;12,5249996;Southampton
segunda;1;hombre;32;26;Southampton
segunda;1;mujer;19;26;Southampton
segunda;0;hombre;28;26;Southampton
segunda;1;hombre;1;39;Southampton
segunda;1;mujer;4;39;Southampton
segunda;1;mujer;12;39;Southampton
segunda;1;mujer;36;39;Southampton
segunda;1;hombre;34;13;Southampton
segunda;1;mujer;19;13;Southampton
segunda;0;hombre;23;13;Southampton
segunda;0;hombre;26;13;Southampton
segunda;0;hombre;42;13;Southampton
segunda;0;hombre;27;13;Southampton
segunda;1;mujer;24;13;Southampton
segunda;1;mujer;15;39;Southampton
segunda;0;hombre;60;39;Southampton
segunda;1;mujer;40;39;Southampton
segunda;1;mujer;20;26;Southampton
segunda;0;hombre;25;26;Southampton
segunda;1;mujer;36;13;Southampton
segunda;0;hombre;25;13;Southampton
segunda;0;hombre;42;13;Southampton
segunda;1;mujer;42;13;Southampton
segunda;1;hombre;0,833299994;29;Southampton
segunda;1;hombre;26;29;Southampton
segunda;1;mujer;22;29;Southampton
segunda;1;mujer;35;21;Southampton
segunda;0;hombre;19;13;Southampton
segunda;0;mujer;44;26;Southampton
segunda;0;hombre;54;26;Southampton
segunda;0;hombre;52;13,5;Southampton
segunda;0;hombre;37;26;Southampton
segunda;0;mujer;29;26;Southampton
segunda;1;mujer;25;30;Southampton
segunda;1;mujer;45;30;Southampton
segunda;0;hombre;29;26;Southampton
segunda;1;mujer;28;26;Southampton
segunda;0;hombre;29;10,5;Southampton
segunda;0;hombre;28;13;Southampton
segunda;1;hombre;24;10,5;Southampton
segunda;1;mujer;8;26,25;Southampton
segunda;0;hombre;31;26,25;Southampton
segunda;1;mujer;31;26,25;Southampton
segunda;1;mujer;22;10,5;Southampton
segunda;0;mujer;30;13;Southampton
segunda;0;hombre;21;11,5;Southampton
segunda;1;hombre;8;36,75;Southampton
segunda;0;hombre;18;73,5;Southampton
segunda;1;mujer;48;36,75;Southampton
segunda;1;mujer;28;13;Southampton
segunda;0;hombre;32;13;Southampton
segunda;0;hombre;17;73,5;Southampton
segunda;0;hombre;29;27,7208004;Cherbourg
segunda;1;mujer;24;27,7208004;Cherbourg
segunda;0;hombre;25;31,5;Southampton
segunda;0;hombre;18;73,5;Southampton
segunda;1;mujer;18;23;Southampton
segunda;1;mujer;34;23;Southampton
segunda;0;hombre;54;26;Southampton
segunda;1;hombre;8;32,5;Southampton
segunda;0;hombre;42;32,5;Southampton
segunda;1;mujer;34;32,5;Southampton
segunda;1;mujer;27;13,8583002;Cherbourg
segunda;1;mujer;30;13,8583002;Cherbourg
segunda;0;hombre;23;13;Southampton
segunda;0;hombre;21;13;Southampton
segunda;0;hombre;18;13;Southampton
segunda;0;hombre;40;26;Southampton
segunda;1;mujer;29;26;Southampton
segunda;0;hombre;18;10,5;Southampton
segunda;0;hombre;36;13;Southampton
segunda;0;mujer;38;13;Southampton
segunda;0;hombre;35;26;Southampton
segunda;0;hombre;38;21;Southampton
segunda;0;hombre;34;21;Southampton
segunda;1;mujer;34;13;Southampton
segunda;0;hombre;16;26;Southampton
segunda;0;hombre;26;10,5;Southampton
segunda;0;hombre;47;10,5;Southampton
segunda;0;hombre;21;11,5;Southampton
segunda;0;hombre;21;11,5;Southampton
segunda;0;hombre;24;13,5;Southampton
segunda;0;hombre;24;13;Southampton
segunda;0;hombre;34;13;Southampton
segunda;0;hombre;30;13;Southampton
segunda;0;hombre;52;13;Southampton
segunda;0;hombre;30;13;Southampton
segunda;1;hombre;0,666700006;14,5;Southampton
segunda;1;mujer;24;14,5;Southampton
segunda;0;hombre;44;13;Southampton
segunda;1;mujer;6;33;Southampton
segunda;0;hombre;28;33;Southampton
segunda;1;hombre;62;10,5;Southampton
segunda;0;hombre;30;10,5;Southampton
segunda;1;mujer;7;26,25;Southampton
segunda;0;hombre;43;26,25;Southampton
segunda;1;mujer;45;26,25;Southampton
segunda;1;mujer;24;65;Southampton
segunda;1;mujer;24;65;Southampton
segunda;0;hombre;49;65;Southampton
segunda;1;mujer;48;65;Southampton
segunda;1;mujer;55;16;Southampton
segunda;0;hombre;24;73,5;Southampton
segunda;0;hombre;32;73,5;Southampton
segunda;0;hombre;21;73,5;Southampton
segunda;0;mujer;18;13;Southampton
segunda;1;mujer;20;23;Southampton
segunda;0;hombre;23;11,5;Southampton
segunda;0;hombre;36;13;Southampton
segunda;1;mujer;54;23;Southampton
segunda;0;hombre;50;13;Southampton
segunda;0;hombre;44;26;Southampton
segunda;1;mujer;29;26;Southampton
segunda;0;hombre;21;73,5;Southampton
segunda;1;hombre;42;13;Southampton
segunda;0;hombre;63;26;Southampton
segunda;0;mujer;60;26;Southampton
segunda;0;hombre;33;12,2749996;Southampton
segunda;1;mujer;17;10,5;Southampton
segunda;0;hombre;42;27;Southampton
segunda;1;mujer;24;27;Southampton
segunda;0;hombre;47;15;Southampton
segunda;0;hombre;24;31,5;Southampton
segunda;0;hombre;22;31,5;Southampton
segunda;0;hombre;32;10,5;Southampton
segunda;1;mujer;23;13,7917004;Cherbourg
segunda;0;hombre;34;26;Southampton
segunda;1;mujer;24;26;Southampton
segunda;0;mujer;22;21;Southampton
segunda;0;hombre;35;12,3500004;Queenstown
segunda;1;mujer;45;13,5;Southampton
segunda;0;hombre;57;12,3500004;Queenstown
segunda;0;hombre;31;10,5;Southampton
segunda;0;mujer;26;26;Southampton
segunda;0;hombre;30;26;Southampton
segunda;1;mujer;1;41,5792007;Cherbourg
segunda;1;mujer;3;41,5792007;Cherbourg
segunda;0;hombre;25;41,5792007;Cherbourg
segunda;1;mujer;22;41,5792007;Cherbourg
segunda;1;mujer;17;12;Cherbourg
segunda;1;mujer;34;10,5;Southampton
segunda;0;hombre;36;12,875;Cherbourg
segunda;0;hombre;24;10,5;Southampton
segunda;0;hombre;61;12,3500004;Queenstown
segunda;0;hombre;50;26;Southampton
segunda;1;mujer;42;26;Southampton
segunda;0;mujer;57;10,5;Southampton
segunda;1;hombre;1;37,0042;Cherbourg
segunda;0;hombre;31;37,0042;Cherbourg
segunda;1;mujer;24;37,0042;Cherbourg
segunda;0;hombre;30;13;Southampton
segunda;0;hombre;40;16;Southampton
segunda;0;hombre;32;13,5;Southampton
segunda;0;hombre;30;13;Southampton
segunda;0;hombre;46;26;Southampton
segunda;1;mujer;13;19,5;Southampton
segunda;1;mujer;41;19,5;Southampton
segunda;1;hombre;19;10,5;Southampton
segunda;0;hombre;39;13;Southampton
segunda;0;hombre;48;13;Southampton
segunda;0;hombre;70;10,5;Southampton
segunda;0;hombre;27;13;Southampton
segunda;0;hombre;54;14;Southampton
segunda;0;hombre;39;26;Southampton
segunda;0;hombre;16;10,5;Southampton
segunda;0;hombre;62;9,6875;Queenstown
segunda;0;hombre;32,5;30,0708008;Cherbourg
segunda;1;mujer;14;30,0708008;Cherbourg
segunda;1;hombre;2;26;Southampton
segunda;1;hombre;3;26;Southampton
segunda;0;hombre;36,5;26;Southampton
segunda;0;hombre;26;13;Southampton
segunda;0;hombre;19;36,75;Southampton
segunda;0;hombre;28;13,5;Southampton
segunda;1;hombre;20;13,8625002;Cherbourg
segunda;1;mujer;29;10,5;Southampton
segunda;0;hombre;39;13;Southampton
segunda;1;hombre;22;10,5;Southampton
segunda;0;hombre;23;10,5;Southampton
segunda;1;hombre;29;13,8583002;Cherbourg
segunda;0;hombre;28;10,5;Southampton
segunda;1;mujer;50;26;Southampton
segunda;0;hombre;19;10,5;Southampton
segunda;0;hombre;41;13;Southampton
segunda;1;mujer;21;21;Southampton
segunda;1;mujer;19;26;Southampton
segunda;0;hombre;43;21;Southampton
segunda;1;mujer;32;13;Southampton
segunda;0;hombre;34;13;Southampton
segunda;1;hombre;30;12,7375002;Cherbourg
segunda;0;hombre;27;15,0333004;Cherbourg
segunda;1;mujer;2;26;Southampton
segunda;1;mujer;8;26;Southampton
segunda;1;mujer;33;26;Southampton
segunda;0;hombre;36;10,5;Southampton
segunda;0;hombre;34;21;Southampton
segunda;1;mujer;30;21;Southampton
segunda;1;mujer;28;13;Southampton
segunda;0;hombre;23;15,0458002;Cherbourg
segunda;1;hombre;0,833299994;18,75;Southampton
segunda;1;hombre;3;18,75;Southampton
segunda;1;mujer;24;18,75;Southampton
segunda;1;mujer;50;10,5;Southampton
segunda;0;hombre;19;10,5;Southampton
segunda;1;mujer;21;10,5;Southampton
segunda;0;hombre;26;13;Southampton
segunda;0;hombre;25;13;Southampton
segunda;0;hombre;27;26;Southampton
segunda;1;mujer;25;26;Southampton
segunda;1;mujer;18;13;Southampton
segunda;1;mujer;20;36,75;Southampton
segunda;1;mujer;30;13;Southampton
segunda;0;hombre;59;13,5;Southampton
segunda;1;mujer;30;12,3500004;Queenstown
segunda;0;hombre;35;10,5;Southampton
segunda;1;mujer;40;13;Southampton
segunda;0;hombre;25;13;Southampton
segunda;0;hombre;41;15,0458002;Cherbourg
segunda;0;hombre;25;10,5;Southampton
segunda;0;hombre;18,5;13;Southampton
segunda;0;hombre;14;65;Southampton
segunda;1;mujer;50;10,5;Southampton
segunda;0;hombre;23;13;Southampton
segunda;1;mujer;28;12,6499996;Southampton
segunda;1;mujer;27;10,5;Southampton
segunda;0;hombre;29;21;Southampton
segunda;0;mujer;27;21;Southampton
segunda;0;hombre;40;13;Southampton
segunda;1;mujer;31;21;Southampton
segunda;0;hombre;30;21;Southampton
segunda;0;hombre;23;10,5;Southampton
segunda;1;mujer;31;21;Southampton
segunda;1;mujer;12;15,75;Southampton
segunda;1;mujer;40;15,75;Southampton
segunda;1;mujer;32,5;13;Southampton
segunda;0;hombre;27;26;Southampton
segunda;1;mujer;29;26;Southampton
segunda;1;hombre;2;23;Southampton
segunda;1;mujer;4;23;Southampton
segunda;1;mujer;29;23;Southampton
segunda;1;mujer;0,916700006;27,75;Southampton
segunda;1;mujer;5;27,75;Southampton
segunda;0;hombre;36;27,75;Southampton
segunda;1;mujer;33;27,75;Southampton
segunda;0;hombre;66;10,5;Southampton
segunda;1;hombre;31;13;Southampton
segunda;1;mujer;26;13,5;Southampton
segunda;0;mujer;24;13;Southampton
tercera;0;hombre;42;7,55000019;Southampton
tercera;0;hombre;13;20,25;Southampton
tercera;0;hombre;16;20,25;Southampton
tercera;1;mujer;35;20,25;Southampton
tercera;1;mujer;16;7,6500001;Southampton
tercera;1;hombre;25;7,6500001;Southampton
tercera;1;hombre;20;7,92500019;Southampton
tercera;1;mujer;18;7,22919989;Cherbourg
tercera;0;hombre;30;7,25;Southampton
tercera;0;hombre;26;8,05000019;Southampton
tercera;0;mujer;40;9,47500038;Southampton
tercera;1;hombre;0,833299994;9,35000038;Southampton
tercera;1;mujer;18;9,35000038;Southampton
tercera;1;hombre;26;18,7875004;Cherbourg
tercera;0;hombre;26;7,88749981;Southampton
tercera;0;hombre;20;7,92500019;Southampton
tercera;0;hombre;24;7,05000019;Southampton
tercera;0;hombre;25;7,05000019;Southampton
tercera;0;hombre;35;8,05000019;Southampton
tercera;0;hombre;18;8,30000019;Southampton
tercera;0;hombre;32;22,5249996;Southampton
tercera;1;mujer;19;7,85419989;Southampton
tercera;0;hombre;4;31,2749996;Southampton
tercera;0;mujer;6;31,2749996;Southampton
tercera;0;mujer;2;31,2749996;Southampton
tercera;1;mujer;17;7,92500019;Southampton
tercera;0;mujer;38;7,7750001;Southampton
tercera;0;mujer;9;31,2749996;Southampton
tercera;0;mujer;11;31,2749996;Southampton
tercera;0;hombre;39;31,2749996;Southampton
tercera;1;hombre;27;7,79580021;Southampton
tercera;0;hombre;26;7,7750001;Southampton
tercera;0;mujer;39;31,2749996;Southampton
tercera;0;hombre;20;7,85419989;Southampton
tercera;0;hombre;26;7,89580011;Southampton
tercera;0;hombre;25;17,7999992;Southampton
tercera;0;mujer;18;17,7999992;Southampton
tercera;0;hombre;24;7,7750001;Southampton
tercera;0;hombre;35;7,05000019;Southampton
tercera;0;hombre;5;31,3875008;Southampton
tercera;0;hombre;9;31,3875008;Southampton
tercera;1;hombre;3;31,3875008;Southampton
tercera;0;hombre;13;31,3875008;Southampton
tercera;1;mujer;5;31,3875008;Southampton
tercera;0;hombre;40;31,3875008;Southampton
tercera;1;hombre;23;7,79580021;Southampton
tercera;1;mujer;38;31,3875008;Southampton
tercera;1;mujer;45;7,2249999;Cherbourg
tercera;0;hombre;21;7,2249999;Cherbourg
tercera;0;hombre;23;7,05000019;Southampton
tercera;0;mujer;17;14,4582996;Cherbourg
tercera;0;hombre;30;7,2249999;Cherbourg
tercera;0;hombre;23;7,85419989;Southampton
tercera;1;mujer;13;7,22919989;Cherbourg
tercera;0;hombre;20;7,2249999;Cherbourg
tercera;0;hombre;32;15,8500004;Southampton
tercera;1;mujer;33;15,8500004;Southampton
tercera;1;mujer;0,75;19,2583008;Cherbourg
tercera;1;mujer;0,75;19,2583008;Cherbourg
tercera;1;mujer;5;19,2583008;Cherbourg
tercera;1;mujer;24;19,2583008;Cherbourg
tercera;1;mujer;18;8,05000019;Southampton
tercera;0;hombre;40;7,2249999;Cherbourg
tercera;0;hombre;26;7,89580011;Southampton
tercera;1;hombre;20;7,22919989;Cherbourg
tercera;0;mujer;18;14,4541998;Cherbourg
tercera;0;mujer;45;14,4541998;Cherbourg
tercera;0;mujer;27;7,87919998;Queenstown
tercera;0;hombre;22;8,05000019;Southampton
tercera;0;hombre;19;8,05000019;Southampton
tercera;0;hombre;26;7,7750001;Southampton
tercera;0;hombre;22;9,35000038;Southampton
tercera;0;hombre;20;4,01249981;Cherbourg
tercera;1;hombre;32;56,4958;Southampton
tercera;0;hombre;21;7,7750001;Southampton
tercera;0;hombre;18;7,75;Southampton
tercera;0;hombre;26;7,89580011;Southampton
tercera;0;hombre;6;15,2458;Cherbourg
tercera;0;mujer;9;15,2458;Cherbourg
tercera;0;hombre;40;15,5;Queenstown
tercera;0;mujer;32;15,5;Queenstown
tercera;0;hombre;21;16,1000004;Southampton
tercera;1;mujer;22;7,7249999;Queenstown
tercera;0;mujer;20;7,85419989;Southampton
tercera;0;hombre;29;7,04580021;Southampton
tercera;0;hombre;22;7,25;Southampton
tercera;0;hombre;22;7,79580021;Southampton
tercera;0;hombre;35;8,05000019;Southampton
tercera;0;mujer;18,5;7,28329992;Queenstown
tercera;1;hombre;21;7,82079983;Queenstown
tercera;0;hombre;19;6,75;Queenstown
tercera;0;mujer;18;7,87919998;Queenstown
tercera;0;mujer;21;8,66250038;Southampton
tercera;0;mujer;30;8,66250038;Southampton
tercera;0;hombre;18;8,66250038;Southampton
tercera;0;hombre;38;8,66250038;Southampton
tercera;0;hombre;17;8,66250038;Southampton
tercera;0;hombre;17;8,66250038;Southampton
tercera;0;mujer;21;7,75;Queenstown
tercera;0;hombre;21;7,75;Queenstown
tercera;0;hombre;21;8,05000019;Southampton
tercera;0;hombre;28;7,79580021;Southampton
tercera;0;hombre;24;7,85419989;Southampton
tercera;1;mujer;16;7,75;Queenstown
tercera;0;mujer;37;7,75;Queenstown
tercera;0;hombre;28;7,25;Southampton
tercera;0;hombre;24;8,05000019;Southampton
