,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
2238,8000,8000.0,14.42,36,debt_consolidation,24.63%,MA,RENT,2964.17,677.0,9.0,8928.0,2.0,6 years
65278,8000,8000.0,15.31,36,debt_consolidation,15.46%,CA,MORTGAGE,2916.67,677.0,13.0,7152.0,1.0,5 years
4227,3000,3000.0,8.59,36,other,3.72%,MA,MORTGAGE,4167.0,767.0,4.0,7074.0,0.0,5 years
50182,14500,14500.0,7.9,36,debt_consolidation,4.85%,GA,MORTGAGE,3958.33,762.0,4.0,9598.0,0.0,4 years
87023,23850,23850.0,21.0,60,debt_consolidation,28.81%,LA,MORTGAGE,5833.33,687.0,19.0,25968.0,3.0,9 years
46120,14000,14000.0,12.12,36,debt_consolidation,14.93%,CA,MORTGAGE,10583.33,687.0,9.0,35457.0,0.0,2 years
30756,35000,34975.0,16.49,60,debt_consolidation,7.45%,GA,MORTGAGE,10416.67,722.0,7.0,31414.0,0.0,8 years
94582,16000,16000.0,15.8,60,car,11.94%,WV,RENT,5250.0,687.0,14.0,154.0,1.0,3 years
457,17350,7019.25,13.55,36,debt_consolidation,18.52%,NH,OWN,3666.67,677.0,8.0,18966.0,2.0,6 years
96536,8000,7975.0,7.9,36,car,29.62%,AL,MORTGAGE,5583.33,782.0,9.0,6065.0,1.0,10+ years
39591,7200,7200.0,7.9,36,debt_consolidation,7.98%,GA,RENT,5666.67,722.0,5.0,8783.0,0.0,3 years
78862,20125,20125.0,7.62,36,home_improvement,4.29%,VA,MORTGAGE,3750.0,832.0,13.0,73952.0,0.0,1 year
54619,12000,11875.0,8.9,36,debt_consolidation,12.06%,NY,RENT,5000.0,717.0,11.0,14717.0,0.0,4 years
101798,2400,1850.0,12.49,36,home_improvement,20.56%,MD,MORTGAGE,3448.33,662.0,10.0,18749.0,5.0,< 1 year
98029,3200,3200.0,17.27,36,home_improvement,8.36%,HI,MORTGAGE,2500.0,672.0,7.0,6619.0,1.0,3 years
95579,12725,12725.0,11.14,36,debt_consolidation,22.15%,TX,RENT,4416.67,722.0,23.0,4079.0,0.0,3 years
4868,5500,5500.0,19.13,36,credit_card,3.58%,DC,RENT,12000.0,662.0,2.0,0.0,1.0,8 years
26822,15650,15650.0,21.74,36,house,13.86%,MD,RENT,3700.0,662.0,5.0,10605.0,1.0,4 years
98445,9000,9000.0,17.27,36,credit_card,25.22%,CA,RENT,5166.67,677.0,14.0,5852.0,1.0,10+ years
14958,5000,5000.0,11.86,36,major_purchase,4%,TX,RENT,5577.0,717.0,3.0,1069.0,0.0,1 year
14754,3000,3000.0,10.38,36,debt_consolidation,15.21%,PA,RENT,3083.33,712.0,11.0,3098.0,0.0,2 years
34501,20000,19975.0,23.91,60,debt_consolidation,9.47%,CA,MORTGAGE,11250.0,672.0,5.0,11168.0,0.0,< 1 year
26888,5450,5450.0,7.49,60,other,2.48%,WA,MORTGAGE,4600.0,787.0,14.0,4326.0,0.0,10+ years
81759,14000,14000.0,12.12,36,debt_consolidation,11.38%,NY,MORTGAGE,4500.0,707.0,22.0,18583.0,0.0,5 years
10825,8800,8799.04,10.38,60,credit_card,21.59%,IL,RENT,3750.0,752.0,11.0,18694.0,1.0,2 years
16667,3000,3000.0,17.44,36,other,15.79%,MD,RENT,7952.0,662.0,4.0,12578.0,0.0,8 years
92046,32000,32000.0,17.27,60,debt_consolidation,15.61%,IL,RENT,9250.0,702.0,15.0,32566.0,1.0,2 years
88279,22250,22250.0,21.49,60,debt_consolidation,28.87%,HI,RENT,4166.67,667.0,15.0,14107.0,0.0,9 years
17218,7325,7300.0,17.8,60,debt_consolidation,20.37%,NY,OWN,3000.0,682.0,6.0,13583.0,0.0,5 years
82406,16450,16450.0,11.14,36,debt_consolidation,7.57%,NC,RENT,7500.0,727.0,5.0,2928.0,0.0,1 year
17143,2500,2500.0,12.98,36,debt_consolidation,16.45%,WI,RENT,1100.0,672.0,6.0,5019.0,1.0,4 years
27486,6000,6000.0,9.99,36,other,7.50%,FL,MORTGAGE,2625.0,717.0,4.0,5167.0,0.0,10+ years
96613,27575,27575.0,14.33,36,debt_consolidation,19.63%,CA,MORTGAGE,5166.67,692.0,6.0,8720.0,0.0,10+ years
6263,1000,1000.0,8.59,36,educational,10.69%,NY,OWN,4583.33,757.0,22.0,17069.0,1.0,< 1 year
29283,12000,12000.0,11.49,36,debt_consolidation,12.85%,IL,RENT,2708.33,707.0,8.0,12150.0,1.0,< 1 year
99766,30000,30000.0,10.16,36,debt_consolidation,22.21%,SD,MORTGAGE,8000.0,717.0,14.0,33218.0,0.0,10+ years
85893,13500,13500.0,14.33,36,debt_consolidation,31.70%,WV,RENT,4166.67,682.0,11.0,31168.0,0.0,1 year
98972,9000,9000.0,15.8,36,debt_consolidation,22.65%,OH,MORTGAGE,3250.0,667.0,9.0,16480.0,0.0,3 years
44054,15000,15000.0,9.91,36,debt_consolidation,9.16%,AK,MORTGAGE,4250.0,732.0,11.0,11615.0,1.0,10+ years
51948,5300,5300.0,7.9,36,medical,12.82%,CA,RENT,5500.0,727.0,8.0,9996.0,2.0,1 year
48676,7000,7000.0,13.11,36,debt_consolidation,16.76%,NJ,RENT,3650.0,687.0,12.0,6444.0,1.0,5 years
82294,20000,19975.0,16.29,36,debt_consolidation,11.85%,CA,RENT,9166.67,687.0,10.0,12421.0,3.0,< 1 year
20328,15000,14993.57,18.25,60,debt_consolidation,13.65%,CA,RENT,2916.67,707.0,4.0,12786.0,0.0,< 1 year
71489,8000,8000.0,14.09,36,home_improvement,12.06%,HI,RENT,5000.0,697.0,10.0,15360.0,1.0,6 years
43203,24000,23947.48,19.03,60,debt_consolidation,3.63%,CA,RENT,7500.0,697.0,6.0,8568.0,1.0,10+ years
48319,7500,7500.0,8.9,36,debt_consolidation,10.02%,DE,RENT,5500.0,717.0,9.0,2382.0,0.0,6 years
5367,17000,16875.0,11.83,36,debt_consolidation,12.70%,GA,RENT,4583.33,737.0,5.0,3644.0,1.0,6 years
83768,12000,12000.0,17.27,36,credit_card,14.86%,NJ,OWN,4583.33,667.0,12.0,9145.0,1.0,10+ years
88084,6000,6000.0,15.31,36,other,15.91%,MN,RENT,3833.33,672.0,11.0,5760.0,1.0,10+ years
101540,6725,825.0,13.12,36,debt_consolidation,13.16%,MO,MORTGAGE,5000.0,672.0,10.0,5513.0,9.0,10+ years
9664,4500,4500.0,6.76,36,debt_consolidation,14.74%,WV,MORTGAGE,2666.67,792.0,7.0,2705.0,0.0,7 years
1494,1600,1600.0,10.83,36,other,5.36%,RI,RENT,2427.0,702.0,5.0,7020.0,0.0,3 years
61703,10000,10000.0,17.77,36,wedding,30.40%,NY,OWN,2500.0,667.0,5.0,8379.0,0.0,8 years
61576,18550,18525.0,7.9,36,debt_consolidation,16.93%,GA,MORTGAGE,5416.67,727.0,10.0,28877.0,0.0,3 years
21993,7450,7450.0,13.06,36,debt_consolidation,3.30%,WA,MORTGAGE,5883.33,712.0,2.0,6416.0,1.0,10+ years
58359,3225,3225.0,7.62,36,debt_consolidation,17.79%,CA,MORTGAGE,5833.33,762.0,5.0,70323.0,1.0,10+ years
67335,23675,23675.0,17.77,36,credit_card,29.94%,PA,OWN,6399.0,682.0,21.0,21920.0,0.0,10+ years
57080,12000,12000.0,12.12,36,debt_consolidation,18.62%,VA,RENT,5833.33,692.0,16.0,18838.0,0.0,10+ years
30035,25000,25000.0,16.49,36,debt_consolidation,18.18%,MA,RENT,6000.0,697.0,9.0,10630.0,2.0,7 years
103948,16000,15850.0,11.12,36,credit_card,17.86%,CA,MORTGAGE,6666.67,727.0,7.0,18659.0,4.0,5 years
96659,4200,4175.0,8.9,36,car,10.16%,NC,MORTGAGE,3041.67,812.0,4.0,1548.0,0.0,10+ years
67158,10000,10000.0,14.09,36,debt_consolidation,21.45%,CO,RENT,4583.33,677.0,11.0,8548.0,0.0,6 years
33777,6000,6000.0,7.51,36,home_improvement,2.52%,NJ,MORTGAGE,4800.0,752.0,4.0,1442.0,0.0,10+ years
59724,6000,6000.0,13.11,36,debt_consolidation,15.33%,KS,RENT,3333.33,687.0,7.0,12503.0,2.0,2 years
95096,7925,7925.0,16.29,36,debt_consolidation,21.25%,GA,RENT,2000.0,667.0,6.0,7840.0,0.0,6 years
67629,16000,15925.0,7.62,36,debt_consolidation,6.48%,IL,MORTGAGE,6000.0,767.0,8.0,19539.0,0.0,n/a
51929,9525,9500.0,15.81,36,small_business,11.35%,CA,RENT,2666.67,672.0,15.0,5610.0,1.0,n/a
13216,6000,6000.0,14.35,36,debt_consolidation,14.08%,IL,MORTGAGE,2500.0,677.0,9.0,3621.0,3.0,< 1 year
103405,10000,9975.0,14.96,36,debt_consolidation,11.50%,FL,MORTGAGE,5250.0,677.0,4.0,3035.0,5.0,2 years
53271,7000,7000.0,6.62,36,major_purchase,8.03%,NM,MORTGAGE,10000.0,752.0,9.0,6761.0,1.0,6 years
25380,4500,4500.0,5.99,36,debt_consolidation,18.48%,CA,MORTGAGE,10000.0,767.0,18.0,17863.0,3.0,6 years
6987,12000,12000.0,11.14,36,debt_consolidation,2.37%,MD,MORTGAGE,12500.0,737.0,13.0,10944.0,0.0,5 years
96413,10375,10375.0,19.72,36,debt_consolidation,4.99%,CT,RENT,4166.67,667.0,9.0,6122.0,1.0,5 years
88273,4800,4800.0,18.75,36,other,10.89%,NM,MORTGAGE,5833.33,672.0,8.0,17943.0,0.0,10+ years
48519,6400,6400.0,13.11,36,credit_card,11.46%,LA,MORTGAGE,4666.67,702.0,7.0,8942.0,1.0,10+ years
69456,5000,5000.0,7.9,36,debt_consolidation,17.22%,CA,OWN,4000.0,707.0,10.0,6023.0,0.0,10+ years
41198,12000,12000.0,6.62,36,credit_card,21.66%,NC,RENT,5250.0,742.0,11.0,20639.0,0.0,< 1 year
44282,23850,23820.25,21.48,60,other,18.75%,NY,MORTGAGE,4250.0,692.0,23.0,37251.0,0.0,4 years
34122,15000,15000.0,10.65,36,small_business,16.15%,OH,MORTGAGE,7083.33,722.0,14.0,338.0,2.0,9 years
84563,8000,8000.0,7.62,36,other,0%,NC,MORTGAGE,3500.0,767.0,7.0,0.0,1.0,n/a
98634,20000,20000.0,6.03,36,credit_card,18.67%,FL,MORTGAGE,14583.33,717.0,9.0,29044.0,0.0,7 years
73526,20000,19975.0,13.11,36,debt_consolidation,15.09%,NC,RENT,8233.33,712.0,17.0,29756.0,2.0,< 1 year
82476,10000,10000.0,14.09,36,debt_consolidation,10.59%,CA,RENT,2916.67,692.0,9.0,10390.0,3.0,< 1 year
67263,18825,18825.0,14.09,36,credit_card,13.08%,MI,RENT,4000.0,712.0,6.0,20694.0,1.0,4 years
41267,35000,34975.0,7.9,36,small_business,1.59%,IL,RENT,18333.33,777.0,10.0,1992.0,0.0,1 year
64884,9000,9000.0,6.03,36,vacation,5.58%,NJ,MORTGAGE,9583.33,817.0,11.0,675.0,0.0,n/a
18452,4000,4000.0,6.17,36,home_improvement,15%,CT,RENT,4234.0,747.0,5.0,587.0,1.0,2 years
57866,5750,5750.0,13.99,36,credit_card,12.44%,CA,RENT,5000.0,662.0,13.0,12465.0,0.0,10+ years
77151,20950,20950.0,15.8,36,debt_consolidation,15.71%,MA,MORTGAGE,12916.67,692.0,8.0,30188.0,1.0,4 years
25405,8000,8000.0,10.99,36,credit_card,14.76%,NY,RENT,7500.0,712.0,9.0,7120.0,2.0,< 1 year
85644,10000,10000.0,10.16,36,debt_consolidation,9.30%,TX,MORTGAGE,3333.33,727.0,8.0,8940.0,2.0,n/a
85686,10000,10000.0,14.09,36,small_business,14.76%,NY,RENT,5000.0,677.0,7.0,4762.0,0.0,4 years
54649,14000,14000.0,6.03,36,credit_card,19.53%,CT,MORTGAGE,6000.0,767.0,13.0,4140.0,0.0,8 years
19069,5000,5000.0,7.66,36,credit_card,3.33%,RI,RENT,9000.0,737.0,3.0,12297.0,0.0,10+ years
74479,25000,25000.0,19.05,60,debt_consolidation,10.53%,IL,MORTGAGE,6250.0,702.0,8.0,15159.0,1.0,9 years
76693,35000,35000.0,8.9,36,debt_consolidation,14.62%,CA,RENT,10416.67,737.0,9.0,21321.0,0.0,10+ years
63266,7200,7175.0,11.14,36,debt_consolidation,27.89%,OK,MORTGAGE,3750.0,692.0,8.0,20342.0,0.0,10+ years
32008,14000,14000.0,8.49,60,debt_consolidation,9.89%,CA,MORTGAGE,9000.0,762.0,17.0,23773.0,0.0,4 years
13996,15000,14975.0,15.21,36,debt_consolidation,19.10%,TX,RENT,5132.0,682.0,4.0,34044.0,1.0,3 years
80638,25000,25000.0,19.72,60,debt_consolidation,32.10%,NY,OWN,4916.67,697.0,21.0,35208.0,1.0,7 years
36889,10800,10800.0,14.65,36,debt_consolidation,7.89%,CA,RENT,9583.33,677.0,6.0,6487.0,1.0,< 1 year
72169,20000,20000.0,14.33,36,credit_card,21.44%,GA,MORTGAGE,6250.0,702.0,9.0,14268.0,1.0,9 years
19548,4000,4000.0,10.74,36,debt_consolidation,1.97%,KS,RENT,2900.0,697.0,13.0,1869.0,1.0,n/a
103357,16000,15950.0,15.7,36,debt_consolidation,23.51%,OH,MORTGAGE,9333.33,677.0,20.0,12721.0,5.0,10+ years
59117,1400,1400.0,9.76,36,vacation,27.14%,NV,MORTGAGE,4683.33,732.0,6.0,6466.0,0.0,2 years
15427,7500,7500.0,16.32,36,debt_consolidation,12.54%,CA,MORTGAGE,4600.0,667.0,3.0,6120.0,0.0,2 years
224,24625,917.28,14.07,36,credit_card,12.81%,NY,MORTGAGE,10000.0,677.0,14.0,33698.0,0.0,8 years
85618,5000,5000.0,14.09,36,debt_consolidation,29.02%,FL,MORTGAGE,5416.67,682.0,11.0,3977.0,1.0,< 1 year
43436,25000,24975.0,9.91,36,debt_consolidation,20.49%,NY,RENT,7916.67,727.0,14.0,27203.0,0.0,1 year
19328,7500,7500.0,16.4,36,debt_consolidation,13.34%,CA,RENT,4166.67,662.0,8.0,7430.0,0.0,< 1 year
65134,34500,34450.0,6.62,36,small_business,16.46%,CA,MORTGAGE,10000.0,807.0,8.0,5317.0,0.0,9 years
20263,10000,10000.0,5.79,36,debt_consolidation,6.49%,GA,MORTGAGE,12500.0,747.0,17.0,75629.0,0.0,1 year
9194,3200,3200.0,9.88,36,debt_consolidation,6.51%,MA,RENT,4500.0,742.0,7.0,3198.0,0.0,5 years
27520,5500,5500.0,15.99,60,debt_consolidation,17.95%,RI,RENT,4250.0,702.0,16.0,13256.0,0.0,10+ years
45941,3000,3000.0,9.76,36,debt_consolidation,21.82%,VA,OWN,1100.0,722.0,4.0,2413.0,0.0,n/a
69242,18000,18000.0,23.28,60,debt_consolidation,9.05%,WI,RENT,7083.33,662.0,6.0,13106.0,0.0,10+ years
2633,10000,9700.0,9.63,36,debt_consolidation,13.77%,OK,MORTGAGE,4190.0,737.0,6.0,1251.0,1.0,< 1 year
48662,8800,8800.0,13.11,36,credit_card,16.73%,WI,RENT,3150.25,702.0,13.0,14266.0,1.0,4 years
65775,7000,7000.0,11.14,36,debt_consolidation,23.02%,TX,MORTGAGE,6000.0,707.0,17.0,19634.0,2.0,6 years
92773,8000,8000.0,13.11,36,debt_consolidation,19.01%,AK,RENT,2625.0,727.0,8.0,7554.0,1.0,5 years
33161,3000,3000.0,17.27,36,credit_card,16.62%,SC,RENT,3833.33,662.0,4.0,4136.0,0.0,n/a
37985,12000,11975.0,7.51,36,debt_consolidation,11.91%,MD,RENT,7500.0,737.0,18.0,33702.0,1.0,10+ years
2791,3600,3575.0,14.11,36,small_business,0.04%,WI,RENT,2500.0,727.0,4.0,1.0,0.0,3 years
81950,11625,11625.0,14.33,36,debt_consolidation,22.84%,NY,MORTGAGE,2833.33,707.0,6.0,27411.0,2.0,8 years
84215,30000,30000.0,21.49,36,credit_card,16.70%,MD,MORTGAGE,12500.0,672.0,14.0,19096.0,2.0,9 years
93352,16000,16000.0,8.9,36,debt_consolidation,19.71%,CO,RENT,7083.33,722.0,11.0,6185.0,1.0,4 years
10474,10800,10700.0,10.75,36,major_purchase,15.32%,FL,MORTGAGE,8400.0,717.0,6.0,24675.0,0.0,10+ years
15717,25000,23655.48,16.69,60,debt_consolidation,14.11%,CO,MORTGAGE,7666.67,707.0,15.0,28748.0,3.0,8 years
103874,10000,10000.0,13.98,60,other,14.86%,MO,RENT,3916.67,712.0,9.0,5188.0,4.0,4 years
132,12375,275.0,10.91,36,small_business,16.39%,VA,MORTGAGE,3892.75,692.0,11.0,8332.0,2.0,3 years
5169,6000,6000.0,11.48,36,credit_card,18.20%,NY,MORTGAGE,5031.67,707.0,9.0,50935.0,0.0,10+ years
29812,8000,8000.0,13.49,36,debt_consolidation,14.92%,CO,RENT,5000.0,687.0,18.0,4786.0,1.0,2 years
56991,15000,15000.0,18.25,36,credit_card,9.73%,GA,MORTGAGE,5000.0,662.0,11.0,14596.0,0.0,8 years
62537,7000,7000.0,17.77,36,other,32.25%,NY,RENT,3333.33,667.0,12.0,35604.0,3.0,7 years
22858,8400,8400.0,6.92,36,renewable_energy,13.30%,MD,RENT,3000.0,747.0,9.0,6998.0,1.0,1 year
78602,15000,15000.0,7.9,36,debt_consolidation,18.62%,PA,MORTGAGE,4500.0,742.0,10.0,17212.0,0.0,7 years
93778,15000,14925.0,14.33,36,debt_consolidation,13.30%,TX,RENT,5000.0,667.0,7.0,11368.0,1.0,< 1 year
87504,2800,2800.0,10.16,36,major_purchase,12%,NY,RENT,2083.33,697.0,7.0,7261.0,0.0,< 1 year
92105,7750,7750.0,16.29,36,debt_consolidation,26.74%,FL,MORTGAGE,2916.67,682.0,18.0,17102.0,0.0,5 years
59387,4500,4500.0,8.9,36,credit_card,18.18%,UT,RENT,2166.67,702.0,8.0,5361.0,0.0,4 years
6067,17500,17375.0,12.53,36,debt_consolidation,21.63%,CO,RENT,3666.67,717.0,7.0,20010.0,0.0,6 years
62445,18000,18000.0,15.31,60,debt_consolidation,4.93%,CA,RENT,5258.5,712.0,6.0,11596.0,0.0,10+ years
35834,15000,14975.0,15.27,60,debt_consolidation,17.90%,PA,MORTGAGE,2748.0,722.0,14.0,7956.0,1.0,6 years
24320,6000,6000.0,15.23,36,credit_card,19.57%,KS,OWN,4583.33,667.0,13.0,8077.0,1.0,1 year
68821,11500,11475.0,11.14,36,credit_card,28.25%,CA,RENT,2750.0,702.0,6.0,9079.0,0.0,5 years
96988,10000,10000.0,13.11,36,credit_card,7.56%,PA,RENT,2500.0,687.0,8.0,10906.0,0.0,7 years
47002,12000,12000.0,8.9,36,credit_card,12.46%,MD,RENT,5000.0,727.0,5.0,13940.0,0.0,10+ years
53897,10000,10000.0,12.12,36,debt_consolidation,18.40%,CA,MORTGAGE,5000.0,687.0,7.0,13202.0,0.0,10+ years
40136,35000,34975.0,21.28,60,debt_consolidation,18.21%,AL,RENT,7916.67,682.0,8.0,19789.0,2.0,10+ years
14952,7200,7100.0,10.38,60,major_purchase,17.97%,PA,RENT,3000.0,752.0,7.0,2753.0,1.0,2 years
40856,4000,3975.0,7.9,60,car,4.48%,TX,OWN,4000.0,802.0,16.0,6696.0,0.0,< 1 year
4938,5300,5200.0,11.14,36,debt_consolidation,8.47%,UT,MORTGAGE,8333.33,742.0,5.0,73258.0,1.0,3 years
59272,1200,1200.0,7.62,36,other,8.69%,NY,MORTGAGE,3833.33,732.0,14.0,350.0,1.0,7 years
80512,2500,2500.0,11.14,36,major_purchase,10.08%,CA,RENT,4333.33,722.0,4.0,4922.0,0.0,3 years
82071,17000,16975.0,14.33,36,debt_consolidation,26.35%,MN,OWN,7500.0,702.0,21.0,39130.0,3.0,10+ years
90748,16000,16000.0,7.9,36,credit_card,12.30%,CA,MORTGAGE,8416.67,697.0,14.0,21913.0,1.0,5 years
42319,10000,9950.0,12.69,36,debt_consolidation,3.80%,CA,MORTGAGE,6666.67,697.0,8.0,7967.0,1.0,3 years
81914,5000,5000.0,10.16,36,debt_consolidation,24.50%,AL,MORTGAGE,6250.0,702.0,9.0,33705.0,0.0,6 years
97954,4375,4375.0,19.05,36,credit_card,9.09%,CA,RENT,2916.67,672.0,9.0,6944.0,2.0,6 years
41074,8500,8475.0,6.03,36,home_improvement,12.33%,MO,MORTGAGE,6100.0,747.0,17.0,6370.0,0.0,10+ years
30600,12000,12000.0,16.89,60,small_business,15.24%,OH,MORTGAGE,7500.0,677.0,14.0,28589.0,2.0,3 years
4909,6200,6100.0,8.59,36,other,19.10%,WI,RENT,5000.0,742.0,17.0,9367.0,0.0,1 year
63340,7000,7000.0,18.49,36,debt_consolidation,18.90%,AR,MORTGAGE,2000.0,662.0,10.0,7315.0,2.0,1 year
35313,20800,20800.0,12.69,60,debt_consolidation,7.08%,GA,MORTGAGE,6541.67,732.0,9.0,13197.0,0.0,1 year
45225,19200,19200.0,13.11,60,other,3.45%,IL,MORTGAGE,8333.33,747.0,14.0,50625.0,3.0,2 years
98090,22000,22000.0,15.8,60,debt_consolidation,21.32%,KY,MORTGAGE,5416.67,702.0,9.0,10267.0,1.0,10+ years
71142,15000,15000.0,19.05,36,debt_consolidation,24.88%,AZ,RENT,6000.0,677.0,12.0,12162.0,0.0,1 year
5282,7000,6965.1,19.47,36,debt_consolidation,17.08%,NJ,RENT,5000.0,667.0,11.0,13859.0,0.0,3 years
52333,20000,20000.0,8.9,36,credit_card,17.08%,CO,RENT,4916.67,732.0,10.0,14952.0,2.0,4 years
15274,2000,2000.0,6.17,36,moving,18.35%,WA,RENT,5733.58,747.0,9.0,21998.0,0.0,3 years
32037,18000,17738.58,10.59,60,major_purchase,15.03%,OH,MORTGAGE,4000.0,757.0,9.0,6718.0,0.0,10+ years
6528,20800,20775.0,11.48,36,home_improvement,21.77%,CA,OWN,11666.67,792.0,6.0,682.0,1.0,10+ years
10487,9000,8875.0,7.88,36,debt_consolidation,14.51%,MA,MORTGAGE,5708.33,727.0,9.0,12217.0,0.0,7 years
64690,6000,6000.0,14.09,36,credit_card,22.50%,UT,RENT,2666.67,672.0,18.0,5955.0,0.0,10+ years
66605,5000,5000.0,15.8,36,debt_consolidation,34.20%,CA,RENT,3750.0,667.0,18.0,5414.0,3.0,3 years
18512,12000,11975.0,14.83,60,credit_card,22.31%,CA,RENT,4186.0,687.0,9.0,9398.0,0.0,3 years
1173,7000,1998.0,8.0,36,credit_card,6.36%,AZ,MORTGAGE,7583.33,752.0,9.0,21135.0,0.0,10+ years
22150,6000,5950.0,10.0,36,major_purchase,8.74%,FL,MORTGAGE,15416.67,717.0,9.0,105730.0,1.0,10+ years
104008,17000,16975.0,13.98,36,debt_consolidation,17.65%,TX,MORTGAGE,9166.67,702.0,14.0,16230.0,4.0,3 years
4665,12000,11975.0,8.94,36,credit_card,18.99%,TX,RENT,4750.0,752.0,13.0,25577.0,1.0,4 years
43053,16350,16350.0,7.9,36,credit_card,25.03%,MN,OWN,4541.67,732.0,7.0,25731.0,0.0,9 years
59192,20000,20000.0,7.9,36,debt_consolidation,20.04%,TX,MORTGAGE,4625.0,757.0,14.0,31335.0,1.0,10+ years
80538,12300,12300.0,12.12,36,debt_consolidation,10.01%,CA,RENT,6583.33,692.0,15.0,12450.0,0.0,1 year
78519,4800,4800.0,13.11,36,moving,4.61%,TX,RENT,2666.67,692.0,3.0,7911.0,0.0,< 1 year
48236,14500,14500.0,7.9,36,credit_card,11.96%,IL,RENT,4500.0,737.0,8.0,16398.0,0.0,6 years
51833,4200,4200.0,8.9,36,debt_consolidation,10.43%,CA,MORTGAGE,2254.0,702.0,7.0,4490.0,0.0,n/a
69446,22250,22250.0,14.09,36,credit_card,32.10%,MN,MORTGAGE,6583.33,692.0,18.0,44868.0,0.0,10+ years
18161,8000,8000.0,14.09,36,home_improvement,7.68%,IL,RENT,25000.0,677.0,6.0,28579.0,1.0,8 years
78856,8325,8325.0,17.77,36,debt_consolidation,20.75%,MO,RENT,2000.0,667.0,7.0,7676.0,0.0,< 1 year
48412,14000,14000.0,13.11,36,debt_consolidation,8.12%,CA,OWN,10416.67,732.0,4.0,4776.0,0.0,7 years
